"source_file","series_id","upload_date","file_created","home_team","away_team","scoreboard_team","opponent","team_score","opponent_score","player","score","goals","assists","saves","shots","ping","needs_review"
"2_1782234043738.png","2","2026-06-23 13:00:43","2026-06-23 13:00:42","","","A THE COX","SUPERNOVA ABYSS","0","0","Hyroshi","206","0","1","1","0","0","False"
"2_1782234045643.png","2","2026-06-23 13:00:45","2026-06-23 13:00:44","","","H SUPERNOVA ABYSS","A THE COX","0","0","qu","564","2","1","2","3","36","False"
"2_1782234045643.png","2","2026-06-23 13:00:45","2026-06-23 13:00:44","","","H SUPERNOVA ABYSS","A THE COX","0","0","tra","294","1","1","1","1","28","False"
"2_1782234045643.png","2","2026-06-23 13:00:45","2026-06-23 13:00:44","","","A THE COX","H SUPERNOVA ABYSS","0","0","GTI CoalTrainLLC","238","1","0","0","3","36","False"
"3_1782234048249.png","3","2026-06-23 13:00:48","2026-06-23 13:00:48","","","DECEPTIT4ROS","THE COX","0","0","MegatronMD","227","0","0","1","1","32","False"
"3_1782234048249.png","3","2026-06-23 13:00:48","2026-06-23 13:00:48","","","DECEPTIT4ROS","THE COX","0","0","Dukeofdope7","174","0","0","1","1","44","False"
"3_1782234048249.png","3","2026-06-23 13:00:48","2026-06-23 13:00:48","","","DECEPTIT4ROS","THE COX","0","0","Burt","168","0","0","0","0","36","False"
"3_1782234049339.png","3","2026-06-23 13:00:49","2026-06-23 13:00:48","","","THE COX","DECEPTIT4ROS","0","1","GTI CoalTrainLLC","627","3","2","0","5","28","False"
"3_1782234049339.png","3","2026-06-23 13:00:49","2026-06-23 13:00:48","","","THE COX","DECEPTIT4ROS","0","1","NEMI Nem Hyroshi","235","1","0","1","1","0","False"
"3_1782234049339.png","3","2026-06-23 13:00:49","2026-06-23 13:00:48","","","DECEPTIT4ROS","THE COX","1","0","Burt","301","0","0","2","2","0","False"
"3_1782234049339.png","3","2026-06-23 13:00:49","2026-06-23 13:00:48","","","DECEPTIT4ROS","THE COX","1","0","GTI Dukeofdope7","244","1","0","0","3","44","False"
"3_1782234049339.png","3","2026-06-23 13:00:49","2026-06-23 13:00:48","","","DECEPTIT4ROS","THE COX","1","0","MegatronMD","152","0","0","0","1","32","False"
"3_1782234050387.png","3","2026-06-23 13:00:50","2026-06-23 13:00:50","","","A DECEPTIT4RDS","THE COX","0","0","GTI Dukeofdope7","435","0","0","4","1","40","False"
"3_1782234050387.png","3","2026-06-23 13:00:50","2026-06-23 13:00:50","","","A DECEPTIT4RDS","THE COX","0","0","MegatronMD","420","2","0","1","4","32","False"
"3_1782234050387.png","3","2026-06-23 13:00:50","2026-06-23 13:00:50","","","A DECEPTIT4RDS","THE COX","0","0","Burt","250","1","0","0","2","36","False"
"6_1782234067308.png","6","2026-06-23 13:01:07","2026-06-23 13:01:06","","","","SPIRIT AIRLINES","0","0","selena.","429","2","0","0","44","0","True"
"6_1782234067308.png","6","2026-06-23 13:01:07","2026-06-23 13:01:06","","","SPIRIT AIRLINES","","0","0","CTdail","230","0","0","0","0","0","True"
"6_1782234068972.png","6","2026-06-23 13:01:08","2026-06-23 13:01:08","","","","SPIRIT AIRLINES","0","0","selena.","348","1","0","0","44","0","True"
"6_1782234068972.png","6","2026-06-23 13:01:08","2026-06-23 13:01:08","","","SPIRIT AIRLINES","","0","0","GTdail","519","1","0","0","0","0","True"
"6_1782234068972.png","6","2026-06-23 13:01:08","2026-06-23 13:01:08","","","SPIRIT AIRLINES","","0","0","JulietAlphaRomeo","276","0","0","0","0","0","True"
"6_1782234070083.png","6","2026-06-23 13:01:10","2026-06-23 13:01:10","","","","S P I AIRLINEW","0","0","selena.","182","0","0","0","44","0","True"
"6_1782234070083.png","6","2026-06-23 13:01:10","2026-06-23 13:01:10","","","S P I AIRLINEW","","0","0","JulietAlphaRomeo '26*","533","0","0","0","0","0","True"
"6_1782234070083.png","6","2026-06-23 13:01:10","2026-06-23 13:01:10","","","S P I AIRLINEW","","0","0","GTdail","251","0","0","0","44","0","True"
"7_1782234071878.png","7","2026-06-23 13:01:11","2026-06-23 13:01:10","","","","171","0","0","402","1","3","1","0","0","0","True"
"7_1782234071878.png","7","2026-06-23 13:01:11","2026-06-23 13:01:10","","","171","","0","0","380 1","1","1","3","0","0","0","True"
"7_1782234073047.png","7","2026-06-23 13:01:13","2026-06-23 13:01:12","","","A BLINKER","QUACK WOK","0","0","Squirt","410","1","1","1","1","24","False"
"7_1782234073047.png","7","2026-06-23 13:01:13","2026-06-23 13:01:12","","","A BLINKER","QUACK WOK","0","0","NeonLightning2Ø","341","1","0","2","1","0","False"
"7_1782234073047.png","7","2026-06-23 13:01:13","2026-06-23 13:01:12","","","A BLINKER","QUACK WOK","0","0","Bubbles3913","332","1","0","1","4","56","False"
"7_1782234073047.png","7","2026-06-23 13:01:13","2026-06-23 13:01:12","","","QUACK WOK","A BLINKER","0","0","GTI Original_6_Hawks","418","1","1","1","4","24","False"
"7_1782234073047.png","7","2026-06-23 13:01:13","2026-06-23 13:01:12","","","QUACK WOK","A BLINKER","0","0","GTI LIL HATED ONE","377","1","1","2","3","64","False"
"7_1782234073047.png","7","2026-06-23 13:01:13","2026-06-23 13:01:12","","","QUACK WOK","A BLINKER","0","0","godfatherjones","154","0","0","0","2","28","False"
"7_1782234074808.png","7","2026-06-23 13:01:14","2026-06-23 13:01:14","","","QUACK WOK","HL 6 BLINKER","0","1","godfatherjones","585","0","1","5","1","28","False"
"7_1782234074808.png","7","2026-06-23 13:01:14","2026-06-23 13:01:14","","","QUACK WOK","HL 6 BLINKER","0","1","Original-6-Hawks","389","1","0","1","2","28","False"
"7_1782234074808.png","7","2026-06-23 13:01:14","2026-06-23 13:01:14","","","QUACK WOK","HL 6 BLINKER","0","1","GTI LIL HATED ONE","276","1","1","1","1","32","False"
"7_1782234074808.png","7","2026-06-23 13:01:14","2026-06-23 13:01:14","","","HL 6 BLINKER","QUACK WOK","1","0","Bubbles3913","436","1","0","2","5","0","False"
"7_1782234074808.png","7","2026-06-23 13:01:14","2026-06-23 13:01:14","","","HL 6 BLINKER","QUACK WOK","1","0","Squirt","234","0","0","0","2","28","False"
"7_1782234074808.png","7","2026-06-23 13:01:14","2026-06-23 13:01:14","","","HL 6 BLINKER","QUACK WOK","1","0","NeonLightning2Ø","228","0","1","0","3","56","False"
"7_1782234076629.png","7","2026-06-23 13:01:16","2026-06-23 13:01:16","","","BLINKER","QUACK WOK","0","0","Bubbles3913","477","1","1","2","3","44","False"
"7_1782234076629.png","7","2026-06-23 13:01:16","2026-06-23 13:01:16","","","BLINKER","QUACK WOK","0","0","squirt","392","2","0","0","3","28","False"
"7_1782234076629.png","7","2026-06-23 13:01:16","2026-06-23 13:01:16","","","BLINKER","QUACK WOK","0","0","NeonLightning2Ø","196","1","0","0","3","56","False"
"7_1782234076629.png","7","2026-06-23 13:01:16","2026-06-23 13:01:16","","","QUACK WOK","BLINKER","0","0","GTI godfatherjones","293","0","0","2","2","28","False"
"7_1782234076629.png","7","2026-06-23 13:01:16","2026-06-23 13:01:16","","","QUACK WOK","BLINKER","0","0","LIL HATED ONE","138","0","0","2","1","0","False"
"7_1782234077774.png","7","2026-06-23 13:01:17","2026-06-23 13:01:16","","","L BLINKER","QUACK WOK","0","1","Squirt","432","2","0","1","2","24","False"
"7_1782234077774.png","7","2026-06-23 13:01:17","2026-06-23 13:01:16","","","L BLINKER","QUACK WOK","0","1","Bubbles3913","413","1","1","2","2","56","False"
"7_1782234077774.png","7","2026-06-23 13:01:17","2026-06-23 13:01:16","","","L BLINKER","QUACK WOK","0","1","NeonLightning2Ø","158","0","0","1","1","56","False"
"7_1782234077774.png","7","2026-06-23 13:01:17","2026-06-23 13:01:16","","","QUACK WOK","L BLINKER","1","0","Original_6_Hawks","372","1","0","2","2","32","False"
"7_1782234077774.png","7","2026-06-23 13:01:17","2026-06-23 13:01:16","","","QUACK WOK","L BLINKER","1","0","GTI godfatherjones","246","0","1","0","4","28","False"
"7_1782234077774.png","7","2026-06-23 13:01:17","2026-06-23 13:01:16","","","QUACK WOK","L BLINKER","1","0","LIL HATED ONE","92","0","0","0","1","0","False"
"8_1782234079504.png","8","2026-06-23 13:01:19","2026-06-23 13:01:18","","","A BEST FRIEND CLUB","SPIRIT AIRLINES","0","1","TheLakeEffekt","513","2","0","1","4","44","False"
