replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
46428486-b73c-4b48-989b-ec288ae05b33;s6 g1;Sovereign Heights (Dusk);2026-06-09 23:35:44;win;GIGAS IN PARIS;BEST FRIEND CLUB;956;4;1;1;12;4;3;33.33;1177;139.97;7240;5055;2185;60;180;1584;1029;555;14;49;107.85;121.86;1474;992;386;1588356;490.61;466.7;153.87;694.73;388.98;27.46;18.36;167;287.62;823.56;287.62;706.57;404.62;533.82;328.99;248.38;3;2
46428486-b73c-4b48-989b-ec288ae05b33;s6 g1;Sovereign Heights (Dusk);2026-06-09 23:35:44;loss;BEST FRIEND CLUB;GIGAS IN PARIS;1218;3;1;7;4;12;4;75;906;162.61;5748;4061;1687;50;156;896;525;371;8;35;84.65;150.95;383;1051;288;1414837;634.52;392.96;79.26;691.21;396.15;19.39;17.77;161;315.09;791.66;315.09;823.14;283.61;642.31;310.57;153.86;2;3
ae3a3d48-c4be-4fd5-a730-44a9b0a05bf4;g2;Sovereign Heights (Dusk);2026-06-09 23:43:31;loss;BEST FRIEND CLUB;GIGAS IN PARIS;623;0;0;4;2;9;4;0;948;158.04;5214;3064;2150;40;152;1100;299;801;4;49;139.91;128.74;382;956;124;1376706;526.7;433.69;66.25;632.98;356.52;37.14;17.48;142;301.5;725.14;301.5;669.77;356.87;516.79;316.21;193.63;2;0
ae3a3d48-c4be-4fd5-a730-44a9b0a05bf4;g2;Sovereign Heights (Dusk);2026-06-09 23:43:31;win;GIGAS IN PARIS;BEST FRIEND CLUB;1100;4;2;2;9;2;0;44.44;1128;153.96;6621;4631;1990;57;166;1026;622;404;7;36;96.46;104.03;893;1153;87;1447081;473.31;419.75;128.55;622.51;361.99;37.12;18.86;162;228.68;792.92;228.68;687.02;334.59;532.46;296.62;192.52;0;2
32b90ee1-48f7-4c8f-a78a-bd6f0c557b25;g3;Sovereign Heights (Dusk);2026-06-09 23:52:12;win;BEST FRIEND CLUB;GIGAS IN PARIS;1295;2;1;8;10;10;1;20;828;159.18;6329;4243;2086;54;178;861;469;392;6;33;118.51;188.93;429;1255;128;1689420;802.98;457.3;66.75;828.07;456.15;42.83;28.1;225;378.75;948.29;378.75;1001.06;325.99;792.3;368.41;166.33;1;2
32b90ee1-48f7-4c8f-a78a-bd6f0c557b25;g3;Sovereign Heights (Dusk);2026-06-09 23:52:12;loss;GIGAS IN PARIS;BEST FRIEND CLUB;1253;1;1;8;10;10;2;10;1180;153.37;8750;6025;2725;76;223;1936;1125;811;14;71;135.42;185.42;1694;1587;283;1916659;606.33;567.51;156.98;846.08;438.5;46.24;27.57;212;314.83;1015.98;314.83;810.42;520.41;601.89;399.15;329.78;2;1
51855406-aa22-4e9f-824a-4a30c0a399aa;g4;Sovereign Heights (Dusk);2026-06-09 23:59:23;loss;BEST FRIEND CLUB;GIGAS IN PARIS;803;0;0;5;3;10;2;0;940;167.35;5001;3297;1704;41;146;773;357;416;5;31;88.71;134.16;368;868;149;1268813;551.01;367.99;52.5;631.89;315.44;24.17;16.96;136;260.99;710.51;260.99;726.87;244.64;553.49;285.19;132.82;3;1
51855406-aa22-4e9f-824a-4a30c0a399aa;g4;Sovereign Heights (Dusk);2026-06-09 23:59:23;win;GIGAS IN PARIS;BEST FRIEND CLUB;891;2;0;3;10;3;0;20;1137;150.56;6124;4410;1714;52;146;1065;607;458;8;40;93.67;110.34;1083;751;125;1394065;451.83;390.86;125.76;639.87;312.13;16.45;25.47;150;212.03;756.42;212.03;621.06;347.39;457.1;327.1;184.25;1;3
