replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
592a1a0b-a236-494f-84a5-9ecba288c986;g2 sa;;2026-06-15 21:27:33;loss;SPIRIT AIRLINES;GIGAS IN PARIS;831;1;0;5;2;11;4;50;1029;147.05;6190;4372;1818;54;138;610;246;364;3;31;100.98;161.33;1012;1055;52;1480198;513.53;443.58;105.42;638.4;392.22;31.91;17.62;149;328.73;733.8;328.73;748.78;313.76;587.62;294.49;180.42;3;1
592a1a0b-a236-494f-84a5-9ecba288c986;g2 sa;;2026-06-15 21:27:33;win;GIGAS IN PARIS;SPIRIT AIRLINES;1114;4;4;0;11;2;1;36.36;1111;146.86;6252;4406;1846;53;166;1121;591;530;8;47;114.03;115.46;845;940;207;1500379;475.5;454.33;124.67;663.38;365.15;25.99;16.21;139;234.3;820.2;234.3;670.22;384.29;490.84;322.31;241.37;1;3
1ef17ade-b7c1-4259-a438-32defd97e0bc;g3 sa;;2026-06-15 21:34:25;loss;SPIRIT AIRLINES;GIGAS IN PARIS;840;0;0;7;1;12;2;0;1018;147.44;5480;3956;1524;47;131;890;679;211;7;18;92.32;122.54;640;706;23;1348749;468.51;404.34;89.32;580.86;350.64;30.64;17.8;144;313.34;648.81;313.34;727.8;234.36;562.4;281.32;118.45;1;5
1ef17ade-b7c1-4259-a438-32defd97e0bc;g3 sa;;2026-06-15 21:34:25;win;GIGAS IN PARIS;SPIRIT AIRLINES;758;2;1;0;12;1;0;16.67;1132;141.34;6206;4584;1622;54;144;1319;714;605;9;54;94.18;114.71;1191;832;184;1450647;405.96;424.46;140.67;624.08;318.08;28.93;19.02;161;244.1;726.99;244.1;552.13;418.96;377.5;340.23;253.37;5;1
8f7efe92-7e5a-4f35-b82c-3125ea1d6641;g1 sa;;2026-06-15 21:19:06;win;GIGAS IN PARIS;SPIRIT AIRLINES;865;2;1;2;8;5;1;25;1134;153.03;6296;4618;1678;57;154;1425;948;477;11;43;100.88;80.51;918;1106;157;1465441;432.83;439.39;130.56;634.86;337.87;30.04;18.1;150;274.21;728.57;274.21;607.98;394.79;443.49;328.39;230.88;4;2
8f7efe92-7e5a-4f35-b82c-3125ea1d6641;g1 sa;;2026-06-15 21:19:06;loss;SPIRIT AIRLINES;GIGAS IN PARIS;814;1;1;4;5;8;2;20;998;157.14;5625;4042;1583;52;139;1210;775;435;10;38;119.61;129.72;1017;1167;222;1418890;478.47;407.09;108.41;624.61;346.75;22.61;16.3;146;291.32;702.65;291.32;689.21;304.74;528.18;292.14;173.65;2;4
