replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
857eff1a-48e0-47b9-b684-6f81bb03ef3f;qw hlb g2;AquaDome (Salty Shallows);2026-06-12 00:33:41;win;QUACK WOK;HL & BLINKER;Original_6_Hawks;23;Octane;389;1;0;1;2;10;1;0;50;319;46.66;1784;1107;677;13;53;169;0;169;0;15;20.99;18.69;155;192;0;1361;470072;203.32;56.32;134.51;37.26;23.21;6.43;233.1;64.56;112.63;31.2;15.31;4.24;11.94;0.17;71;87.3;23.98;123.8;34.01;87.61;24.27;273.43;75.73;87.61;24.27;255.24;70.7;105.8;29.3;185.34;51.34;107.81;29.86;67.89;18.8;2677;2662;2767;3458;0;1
857eff1a-48e0-47b9-b684-6f81bb03ef3f;qw hlb g2;AquaDome (Salty Shallows);2026-06-12 00:33:41;win;QUACK WOK;HL & BLINKER;godfatherjones;23;Octane;585;0;1;5;1;10;1;1;0;334;43.42;2023;1329;694;15;51;465;400;65;4;6;63.85;31.05;221;182;0;1382;482353;207.2;56.92;124.8;34.28;32.05;8.8;221.42;60.82;122.98;33.78;19.64;5.4;4.99;0.13;38;114.4;31.43;110.1;30.25;79.43;21.82;284.62;78.18;79.43;21.82;262.8;72.19;101.25;27.81;220.72;60.63;87.56;24.05;55.76;15.32;2976;2859;3120;3588;0;0
d673a04b-2201-4b7d-8d92-e56ad36bd8a5;qw hlb g3;AquaDome (Salty Shallows);2026-06-12 00:41:48;win;HL & BLINKER;QUACK WOK;Bubbles3913;23;Octane;477;1;1;2;3;5;1;1;33.33;399;56.77;2425;1660;765;22;68;715;460;255;6;23;25.52;47.06;215;573;160;1613;526827;132.98;38.08;158.19;45.3;58.02;16.62;201.1;57.59;139.89;40.06;8.21;2.35;4.18;0.09;47;95;26.99;130.2;36.99;100.18;28.69;249.01;71.31;100.18;28.69;200.55;57.43;148.64;42.57;150.67;43.15;111.33;31.88;87.19;24.97;3073;2813;3263;3764;2;1
d673a04b-2201-4b7d-8d92-e56ad36bd8a5;qw hlb g3;AquaDome (Salty Shallows);2026-06-12 00:41:48;win;HL & BLINKER;QUACK WOK;NeonLightning20;23;Octane;196;1;0;0;3;5;1;0;33.33;262;37.77;1489;864;625;10;53;292;185;107;3;9;47.64;17.94;243;135;114;1336;436260;221.36;63.4;109.23;31.28;18.58;5.32;237.76;68.09;100.8;28.87;10.6;3.04;6.37;0.08;83;151.2;42.95;85;24.15;80.73;23.12;268.43;76.88;80.73;23.12;231.24;66.23;117.92;33.77;178.68;51.18;105.88;30.33;64.59;18.5;3375;3306;3459;3676;0;1
d673a04b-2201-4b7d-8d92-e56ad36bd8a5;qw hlb g3;AquaDome (Salty Shallows);2026-06-12 00:41:48;win;HL & BLINKER;QUACK WOK;Squirt;23;Octane;392;2;0;0;3;5;1;0;66.67;446;57.18;2487;2053;434;26;42;130;0;130;0;13;34.18;67.29;265;588;14;1669;545638;119.26;34.16;165.16;47.3;64.73;18.54;175.03;50.13;163.2;46.74;10.93;3.13;6.6;0.14;47;103.7;29.46;114.4;32.5;87.78;25.14;261.37;74.86;87.78;25.14;219.35;62.82;129.81;37.18;155.6;44.57;119.25;34.15;74.3;21.28;2880;2882;2901;3758;2;1
d673a04b-2201-4b7d-8d92-e56ad36bd8a5;qw hlb g3;AquaDome (Salty Shallows);2026-06-12 00:41:48;loss;QUACK WOK;HL & BLINKER;LIL HATED ONE;23;Octane;138;0;0;2;1;9;4;2;0;322;45.78;1791;1240;551;15;49;277;181;96;2;9;47.96;40.42;199;274;18;1474;476275;173.18;50.1;137.25;39.7;35.25;10.2;222.96;64.5;113.67;32.88;9.05;2.62;5.76;0.14;42;127.6;36.25;98.3;27.93;100.89;29.19;244.79;70.81;100.89;29.19;247.02;71.46;98.65;28.54;194.92;56.39;94.67;27.39;56.09;16.23;3375;3443;3298;3787;3;2
d673a04b-2201-4b7d-8d92-e56ad36bd8a5;qw hlb g3;AquaDome (Salty Shallows);2026-06-12 00:41:48;loss;QUACK WOK;HL & BLINKER;Original_6_Hawks;23;Octane;400;1;0;2;2;9;4;0;50;373;50.69;2134;1594;540;22;47;571;404;167;5;15;25.67;19.55;260;498;95;1450;462739;176.69;51.67;130.13;38.05;35.16;10.28;204.63;59.84;122.8;35.91;14.55;4.25;8;0.14;57;88.7;25.2;138.9;39.46;134.75;39.4;207.23;60.6;134.75;39.4;218.99;64.04;122.99;35.96;156.12;45.65;115.35;33.73;70.51;20.62;2842;2561;3152;3845;0;2
d673a04b-2201-4b7d-8d92-e56ad36bd8a5;qw hlb g3;AquaDome (Salty Shallows);2026-06-12 00:41:48;loss;QUACK WOK;HL & BLINKER;godfatherjones;23;Octane;293;0;0;2;2;9;4;2;0;323;40.92;1737;1203;534;14;47;325;200;125;2;11;62.06;17.77;35;205;0;1436;473547;175.3;49.77;148.59;42.19;28.3;8.04;208.46;59.19;132.75;37.69;10.98;3.12;7.11;0.19;37;124.2;35.28;92.9;26.39;101.29;28.76;250.9;71.24;101.29;28.76;264.73;75.17;87.46;24.83;208.82;59.29;90.13;25.59;53.24;15.12;2870;2848;2904;3727;0;0
822db1e1-6e9e-49a9-b719-21a677a27676;qw hlb gg4;AquaDome (Salty Shallows);2026-06-12 00:49:09;loss;HL & BLINKER;QUACK WOK;Bubbles3913;23;Octane;402;0;1;3;1;8;2;1;0;351;53.18;2079;1507;572;19;51;902;678;224;8;20;19.14;60.74;106;404;126;1529;486494;145.99;43.82;144.19;43.28;43;12.91;188.27;56.51;131.04;39.33;13.86;4.16;4.17;0.1;41;81.9;24.59;113.4;34.05;96.54;28.98;236.63;71.02;96.54;28.98;174.83;52.47;158.34;47.53;131.38;39.43;103.76;31.14;98.03;29.42;2799;2806;2851;3605;0;0
822db1e1-6e9e-49a9-b719-21a677a27676;qw hlb gg4;AquaDome (Salty Shallows);2026-06-12 00:49:09;loss;HL & BLINKER;QUACK WOK;Squirt;23;Octane;328;1;0;2;2;8;2;0;50;422;56.85;2282;1905;377;23;34;729;536;193;6;17;35.35;56.84;441;398;63;1640;521595;128.09;38.45;142.78;42.85;62.3;18.7;180.11;54.06;141.68;42.52;11.39;3.42;5.95;0.13;45;99.2;29.79;129.3;38.83;95.33;28.61;237.85;71.39;95.33;28.61;195.33;58.63;137.84;41.37;131.41;39.44;121.14;36.36;80.62;24.2;3002;2813;3218;3761;2;0
